,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Departments,salary,Churn Probability
0,0.38,0.53,2,157,3,0,0,sales,low,0.9873360745121125
1,0.8,0.86,5,262,6,0,0,sales,medium,0.907910143470256
2,0.11,0.88,7,272,4,0,0,sales,medium,0.9865330955715343
3,0.72,0.87,5,223,5,0,0,sales,low,0.900462092091114
4,0.37,0.52,2,159,3,0,0,sales,low,0.987186753091619
5,0.41,0.5,2,153,3,0,0,sales,low,0.987332088339398
6,0.1,0.77,6,247,4,0,0,sales,low,0.9858721568648027
7,0.92,0.85,5,259,5,0,0,sales,low,0.9112135689709747
8,0.89,1.0,5,224,5,0,0,sales,low,0.9225878879077556
9,0.42,0.53,2,142,3,0,0,sales,low,0.9874949001155058
10,0.45,0.54,2,135,3,0,0,sales,low,0.9875052173019139
11,0.11,0.81,6,305,4,0,0,sales,low,0.9966403085648439
12,0.84,0.92,4,234,5,0,0,sales,low,0.9004392818021902
13,0.41,0.55,2,148,3,0,0,sales,low,0.9874633308637919
14,0.36,0.56,2,137,3,0,0,sales,low,0.9874530721344517
15,0.38,0.54,2,143,3,0,0,sales,low,0.9874341114431331
16,0.45,0.47,2,160,3,0,0,sales,low,0.9872626752047556
17,0.78,0.99,4,255,6,0,0,sales,low,0.8989597141492374
18,0.45,0.51,2,160,3,1,1,sales,low,0.9805574075605934
19,0.76,0.89,5,262,5,0,0,sales,low,0.9153644414157704
20,0.11,0.83,6,282,4,0,0,sales,low,0.9937057426468768
21,0.38,0.55,2,147,3,0,0,sales,low,0.987419519509343
22,0.09,0.95,6,304,4,0,0,sales,low,0.9966403085648439
23,0.46,0.57,2,139,3,0,0,sales,low,0.987176610210499
24,0.4,0.53,2,158,3,0,0,sales,low,0.9873800261529561
25,0.89,0.92,5,242,5,0,0,sales,low,0.9143695967851057
26,0.82,0.87,4,239,5,0,0,sales,low,0.8993988592317751
27,0.4,0.49,2,135,3,0,0,sales,low,0.987633663978015
28,0.41,0.46,2,128,3,0,0,accounting,low,0.9872440652150004
29,0.38,0.5,2,132,3,0,0,accounting,low,0.9869970360601644
30,0.09,0.62,6,294,4,0,0,accounting,low,0.9854507102894939
31,0.45,0.57,2,134,3,0,0,hr,low,0.9873869383679618
32,0.4,0.51,2,145,3,0,0,hr,low,0.9872982219201711
33,0.45,0.55,2,140,3,0,0,hr,low,0.9875169402409213
34,0.84,0.87,4,246,6,0,0,hr,low,0.894473363883039
35,0.1,0.94,6,255,4,0,0,technical,low,0.9861365780141197
